"Date","Index","Type","Value"
2002-12-01,"Long-term index (12 months)","Retail",69.2
2003-03-01,"Long-term index (12 months)","Retail",68.3
2003-06-01,"Long-term index (12 months)","Retail",66.1
2003-09-01,"Long-term index (12 months)","Retail",64.4
2003-12-01,"Long-term index (12 months)","Retail",68.1
2004-03-01,"Long-term index (12 months)","Retail",69.9
2004-06-01,"Long-term index (12 months)","Retail",66.4
2004-09-01,"Long-term index (12 months)","Retail",65
2004-12-01,"Long-term index (12 months)","Retail",67.3
2005-03-01,"Long-term index (12 months)","Retail",68.6
2005-06-01,"Long-term index (12 months)","Retail",66.9
2005-09-01,"Long-term index (12 months)","Retail",62.1
2005-12-01,"Long-term index (12 months)","Retail",60.9
2006-03-01,"Long-term index (12 months)","Retail",64.2
2006-06-01,"Long-term index (12 months)","Retail",66.9
2006-09-01,"Long-term index (12 months)","Retail",67.5
2006-12-01,"Long-term index (12 months)","Retail",66.1
2007-03-01,"Long-term index (12 months)","Retail",67
2007-06-01,"Long-term index (12 months)","Retail",68.6
2007-09-01,"Long-term index (12 months)","Retail",68.6
2007-12-01,"Long-term index (12 months)","Retail",66.1
2008-03-01,"Long-term index (12 months)","Retail",62.7
2008-06-01,"Long-term index (12 months)","Retail",60.7
2008-09-01,"Long-term index (12 months)","Retail",60.2
2008-10-01,"Long-term index (12 months)","Retail",42.2
2008-11-01,"Long-term index (12 months)","Retail",43.9
2008-12-01,"Long-term index (12 months)","Retail",37.2
2009-01-01,"Long-term index (12 months)","Retail",37.2
2009-02-01,"Long-term index (12 months)","Retail",43
2009-03-01,"Long-term index (12 months)","Retail",43.6
2009-04-01,"Long-term index (12 months)","Retail",55.1
2009-05-01,"Long-term index (12 months)","Retail",62.6
2009-06-01,"Long-term index (12 months)","Retail",62.2
2009-07-01,"Long-term index (12 months)","Retail",61.7
2009-08-01,"Long-term index (12 months)","Retail",66.3
2009-09-01,"Long-term index (12 months)","Retail",71.5
2009-10-01,"Long-term index (12 months)","Retail",70.7
2009-11-01,"Long-term index (12 months)","Retail",69.4
2009-12-01,"Long-term index (12 months)","Retail",66.2
2010-01-01,"Long-term index (12 months)","Retail",66.6
2010-02-01,"Long-term index (12 months)","Retail",71.6
2010-03-01,"Long-term index (12 months)","Retail",72.3
2010-04-01,"Long-term index (12 months)","Retail",70.1
2010-05-01,"Long-term index (12 months)","Retail",72.7
2010-06-01,"Long-term index (12 months)","Retail",66.2
2010-07-01,"Long-term index (12 months)","Retail",66.4
2010-08-01,"Long-term index (12 months)","Retail",66.4
2010-09-01,"Long-term index (12 months)","Retail",65.3
2010-10-01,"Long-term index (12 months)","Retail",66.1
2010-11-01,"Long-term index (12 months)","Retail",63.3
2010-12-01,"Long-term index (12 months)","Retail",65.2
2011-01-01,"Long-term index (12 months)","Retail",65
2011-02-01,"Long-term index (12 months)","Retail",66.4
2011-03-01,"Long-term index (12 months)","Retail",67.8
2011-04-01,"Long-term index (12 months)","Retail",68.4
2011-05-01,"Long-term index (12 months)","Retail",67.2
2011-06-01,"Long-term index (12 months)","Retail",64.6
2011-07-01,"Long-term index (12 months)","Retail",65.7
2011-08-01,"Long-term index (12 months)","Retail",63.8
2011-09-01,"Long-term index (12 months)","Retail",58.1
2011-10-01,"Long-term index (12 months)","Retail",63.5
2011-11-01,"Long-term index (12 months)","Retail",64.3
2011-12-01,"Long-term index (12 months)","Retail",60.5
2012-01-01,"Long-term index (12 months)","Retail",58.5
2012-02-01,"Long-term index (12 months)","Retail",67.5
2012-03-01,"Long-term index (12 months)","Retail",67.2
2012-04-01,"Long-term index (12 months)","Retail",66.2
2012-05-01,"Long-term index (12 months)","Retail",66.1
2012-06-01,"Long-term index (12 months)","Retail",65.4
2012-07-01,"Long-term index (12 months)","Retail",58.2
2012-08-01,"Long-term index (12 months)","Retail",58.8
2012-09-01,"Long-term index (12 months)","Retail",61.2
2012-10-01,"Long-term index (12 months)","Retail",65.4
2012-11-01,"Long-term index (12 months)","Retail",63.7
2012-12-01,"Long-term index (12 months)","Retail",61.5
2013-01-01,"Long-term index (12 months)","Retail",65.2
2013-02-01,"Long-term index (12 months)","Retail",67.3
2013-03-01,"Long-term index (12 months)","Retail",63
2013-04-01,"Long-term index (12 months)","Retail",58
2013-05-01,"Long-term index (12 months)","Retail",62.8
2013-06-01,"Long-term index (12 months)","Retail",60.9
2013-07-01,"Long-term index (12 months)","Retail",59
2013-08-01,"Long-term index (12 months)","Retail",68.3
2013-09-01,"Long-term index (12 months)","Retail",64.9
2013-10-01,"Long-term index (12 months)","Retail",61.6
2013-11-01,"Long-term index (12 months)","Retail",66.8
2013-12-01,"Long-term index (12 months)","Retail",60.4
2014-01-01,"Long-term index (12 months)","Retail",62.1
2014-02-01,"Long-term index (12 months)","Retail",63.1
2014-03-01,"Long-term index (12 months)","Retail",64.7
2014-04-01,"Long-term index (12 months)","Retail",65.4
2014-05-01,"Long-term index (12 months)","Retail",67.3
2014-06-01,"Long-term index (12 months)","Retail",66
2014-07-01,"Long-term index (12 months)","Retail",61.7
2014-08-01,"Long-term index (12 months)","Retail",65.9
2014-09-01,"Long-term index (12 months)","Retail",67.8
2014-10-01,"Long-term index (12 months)","Retail",67.6
2014-11-01,"Long-term index (12 months)","Retail",69.9
2014-12-01,"Long-term index (12 months)","Retail",61.8
2015-01-01,"Long-term index (12 months)","Retail",63.4
2015-02-01,"Long-term index (12 months)","Retail",56.9
2015-03-01,"Long-term index (12 months)","Retail",61.9
2015-04-01,"Long-term index (12 months)","Retail",59.4
2015-05-01,"Long-term index (12 months)","Retail",55.2
2015-06-01,"Long-term index (12 months)","Retail",62.1
2015-07-01,"Long-term index (12 months)","Retail",53.5
2015-08-01,"Long-term index (12 months)","Retail",54.7
2015-09-01,"Long-term index (12 months)","Retail",58.6
2015-10-01,"Long-term index (12 months)","Retail",57.3
2015-11-01,"Long-term index (12 months)","Retail",61.5
2015-12-01,"Long-term index (12 months)","Retail",55.7
2016-01-01,"Long-term index (12 months)","Retail",53
2016-02-01,"Long-term index (12 months)","Retail",54.1
2016-03-01,"Long-term index (12 months)","Retail",51
2016-04-01,"Long-term index (12 months)","Retail",58.9
2016-05-01,"Long-term index (12 months)","Retail",57
2016-06-01,"Long-term index (12 months)","Retail",60.2
2016-07-01,"Long-term index (12 months)","Retail",58
2016-08-01,"Long-term index (12 months)","Retail",58.7
2016-09-01,"Long-term index (12 months)","Retail",57
2016-10-01,"Long-term index (12 months)","Retail",61.2
2016-11-01,"Long-term index (12 months)","Retail",62.2
2016-12-01,"Long-term index (12 months)","Retail",52.7
2017-01-01,"Long-term index (12 months)","Retail",53.8
2017-02-01,"Long-term index (12 months)","Retail",59.2
2017-03-01,"Long-term index (12 months)","Retail",60.5
2017-04-01,"Long-term index (12 months)","Retail",61.7
2017-05-01,"Long-term index (12 months)","Retail",63.5
2017-06-01,"Long-term index (12 months)","Retail",55.5
2017-07-01,"Long-term index (12 months)","Retail",50.7
2017-08-01,"Long-term index (12 months)","Retail",56.6
2017-09-01,"Long-term index (12 months)","Retail",58
2017-10-01,"Long-term index (12 months)","Retail",61.1
2017-11-01,"Long-term index (12 months)","Retail",55.7
2017-12-01,"Long-term index (12 months)","Retail",53.7
2018-01-01,"Long-term index (12 months)","Retail",60.8
2018-02-01,"Long-term index (12 months)","Retail",61.1
2018-03-01,"Long-term index (12 months)","Retail",56.8
2018-04-01,"Long-term index (12 months)","Retail",54.7
2018-05-01,"Long-term index (12 months)","Retail",57.7
2018-06-01,"Long-term index (12 months)","Retail",59.9
2018-07-01,"Long-term index (12 months)","Retail",54.2
2018-08-01,"Long-term index (12 months)","Retail",61.1
2018-09-01,"Long-term index (12 months)","Retail",56.6
2018-10-01,"Long-term index (12 months)","Retail",62.3
2018-11-01,"Long-term index (12 months)","Retail",56.6
2018-12-01,"Long-term index (12 months)","Retail",51.5
2019-01-01,"Long-term index (12 months)","Retail",56.6
2019-02-01,"Long-term index (12 months)","Retail",58.1
2019-03-01,"Long-term index (12 months)","Retail",57.5
2019-04-01,"Long-term index (12 months)","Retail",56.2
2019-05-01,"Long-term index (12 months)","Retail",56.8
2019-06-01,"Long-term index (12 months)","Retail",59.4
2019-07-01,"Long-term index (12 months)","Retail",54
2019-08-01,"Long-term index (12 months)","Retail",53.6
2019-09-01,"Long-term index (12 months)","Retail",55.3
2019-10-01,"Long-term index (12 months)","Retail",56.6
2019-11-01,"Long-term index (12 months)","Retail",58.5
2019-12-01,"Long-term index (12 months)","Retail",53.2
2020-01-01,"Long-term index (12 months)","Retail",52.4
2020-02-01,"Long-term index (12 months)","Retail",61
2020-03-01,"Long-term index (12 months)","Retail",43.1
2020-03-01,"Long-term index (12 months)","Retail",33.4
2020-04-01,"Long-term index (12 months)","Retail",37.7
2020-04-01,"Long-term index (12 months)","Retail",46.9
2020-05-01,"Long-term index (12 months)","Retail",53.2
2020-05-01,"Long-term index (12 months)","Retail",49.6
2020-06-01,"Long-term index (12 months)","Retail",50.7
2020-07-01,"Long-term index (12 months)","Retail",62
2020-08-01,"Long-term index (12 months)","Retail",56.6
2020-09-01,"Long-term index (12 months)","Retail",57.1
2020-10-01,"Long-term index (12 months)","Retail",55
2020-11-01,"Long-term index (12 months)","Retail",55.9
2020-12-01,"Long-term index (12 months)","Retail",55.2
2021-01-01,"Long-term index (12 months)","Retail",54.2
2021-02-01,"Long-term index (12 months)","Retail",61.9
2021-03-01,"Long-term index (12 months)","Retail",68.7
2021-04-01,"Long-term index (12 months)","Retail",65.7
2021-05-01,"Long-term index (12 months)","Retail",60.1
2021-06-01,"Long-term index (12 months)","Retail",65.3
2021-07-01,"Long-term index (12 months)","Retail",67.9
2021-08-01,"Long-term index (12 months)","Retail",63.2
2021-09-01,"Long-term index (12 months)","Retail",53.1
2021-10-01,"Long-term index (12 months)","Retail",59.3
2021-11-01,"Long-term index (12 months)","Retail",59.3
2021-12-01,"Long-term index (12 months)","Retail",58.2
2022-01-01,"Long-term index (12 months)","Retail",51.9
2022-02-01,"Long-term index (12 months)","Retail",57.3
2022-03-01,"Long-term index (12 months)","Retail",60.8
2022-04-01,"Long-term index (12 months)","Retail",64.1
2022-05-01,"Long-term index (12 months)","Retail",58.5
2000-10-01,"Long-term index (12 months)","Transportation",66.4
2001-02-01,"Long-term index (12 months)","Transportation",61.4
2001-06-01,"Long-term index (12 months)","Transportation",57.6
2001-10-01,"Long-term index (12 months)","Transportation",49.6
2001-12-01,"Long-term index (12 months)","Transportation",58.8
2002-04-01,"Long-term index (12 months)","Transportation",72
2002-06-01,"Long-term index (12 months)","Transportation",66.5
2002-09-01,"Long-term index (12 months)","Transportation",65.9
2002-12-01,"Long-term index (12 months)","Transportation",67
2003-03-01,"Long-term index (12 months)","Transportation",63.9
2003-06-01,"Long-term index (12 months)","Transportation",64.6
2003-09-01,"Long-term index (12 months)","Transportation",64
2003-12-01,"Long-term index (12 months)","Transportation",67.3
2004-03-01,"Long-term index (12 months)","Transportation",69.8
2004-06-01,"Long-term index (12 months)","Transportation",68.1
2004-09-01,"Long-term index (12 months)","Transportation",66.8
2004-12-01,"Long-term index (12 months)","Transportation",68.1
2005-03-01,"Long-term index (12 months)","Transportation",69.7
2005-06-01,"Long-term index (12 months)","Transportation",67.4
2005-09-01,"Long-term index (12 months)","Transportation",60.1
2005-12-01,"Long-term index (12 months)","Transportation",60.1
2006-03-01,"Long-term index (12 months)","Transportation",64.5
2006-06-01,"Long-term index (12 months)","Transportation",63.6
2006-09-01,"Long-term index (12 months)","Transportation",61.2
2006-12-01,"Long-term index (12 months)","Transportation",61.7
2007-03-01,"Long-term index (12 months)","Transportation",66
2007-06-01,"Long-term index (12 months)","Transportation",63.8
2007-09-01,"Long-term index (12 months)","Transportation",58.7
2007-12-01,"Long-term index (12 months)","Transportation",51.6
2008-03-01,"Long-term index (12 months)","Transportation",45
2008-06-01,"Long-term index (12 months)","Transportation",45.3
2008-09-01,"Long-term index (12 months)","Transportation",56.7
2008-10-01,"Long-term index (12 months)","Transportation",50
2008-11-01,"Long-term index (12 months)","Transportation",48.1
2008-12-01,"Long-term index (12 months)","Transportation",38.9
2009-01-01,"Long-term index (12 months)","Transportation",30.8
2009-02-01,"Long-term index (12 months)","Transportation",28.7
2009-03-01,"Long-term index (12 months)","Transportation",29.8
2009-04-01,"Long-term index (12 months)","Transportation",41.4
2009-05-01,"Long-term index (12 months)","Transportation",49.4
2009-06-01,"Long-term index (12 months)","Transportation",50
2009-07-01,"Long-term index (12 months)","Transportation",46.9
2009-08-01,"Long-term index (12 months)","Transportation",43.9
2009-09-01,"Long-term index (12 months)","Transportation",52.6
2009-10-01,"Long-term index (12 months)","Transportation",54
2009-11-01,"Long-term index (12 months)","Transportation",54.7
2009-12-01,"Long-term index (12 months)","Transportation",58.9
2010-01-01,"Long-term index (12 months)","Transportation",61.5
2010-02-01,"Long-term index (12 months)","Transportation",61.4
2010-03-01,"Long-term index (12 months)","Transportation",59.9
2010-04-01,"Long-term index (12 months)","Transportation",61.7
2010-05-01,"Long-term index (12 months)","Transportation",63.2
2010-06-01,"Long-term index (12 months)","Transportation",65.8
2010-07-01,"Long-term index (12 months)","Transportation",65.4
2010-08-01,"Long-term index (12 months)","Transportation",66.5
2010-09-01,"Long-term index (12 months)","Transportation",64
2010-10-01,"Long-term index (12 months)","Transportation",63
2010-11-01,"Long-term index (12 months)","Transportation",63.9
2010-12-01,"Long-term index (12 months)","Transportation",67.1
2011-01-01,"Long-term index (12 months)","Transportation",68.2
2011-02-01,"Long-term index (12 months)","Transportation",64.9
2011-03-01,"Long-term index (12 months)","Transportation",64.4
2011-04-01,"Long-term index (12 months)","Transportation",61.5
2011-05-01,"Long-term index (12 months)","Transportation",68.8
2011-06-01,"Long-term index (12 months)","Transportation",67.4
2011-07-01,"Long-term index (12 months)","Transportation",69.6
2011-08-01,"Long-term index (12 months)","Transportation",61.4
2011-09-01,"Long-term index (12 months)","Transportation",60.6
2011-10-01,"Long-term index (12 months)","Transportation",59
2011-11-01,"Long-term index (12 months)","Transportation",59.7
2011-12-01,"Long-term index (12 months)","Transportation",63.1
2012-01-01,"Long-term index (12 months)","Transportation",60.4
2012-02-01,"Long-term index (12 months)","Transportation",64.6
2012-03-01,"Long-term index (12 months)","Transportation",60.1
2012-04-01,"Long-term index (12 months)","Transportation",65.5
2012-05-01,"Long-term index (12 months)","Transportation",62.5
2012-06-01,"Long-term index (12 months)","Transportation",57.7
2012-07-01,"Long-term index (12 months)","Transportation",54.3
2012-08-01,"Long-term index (12 months)","Transportation",52.8
2012-09-01,"Long-term index (12 months)","Transportation",58.4
2012-10-01,"Long-term index (12 months)","Transportation",63.4
2012-11-01,"Long-term index (12 months)","Transportation",65.7
2012-12-01,"Long-term index (12 months)","Transportation",61
2013-01-01,"Long-term index (12 months)","Transportation",58.6
2013-02-01,"Long-term index (12 months)","Transportation",61.2
2013-03-01,"Long-term index (12 months)","Transportation",63.2
2013-04-01,"Long-term index (12 months)","Transportation",62.4
2013-05-01,"Long-term index (12 months)","Transportation",56.9
2013-06-01,"Long-term index (12 months)","Transportation",58.3
2013-07-01,"Long-term index (12 months)","Transportation",58.7
2013-08-01,"Long-term index (12 months)","Transportation",58.7
2013-09-01,"Long-term index (12 months)","Transportation",57.1
2013-10-01,"Long-term index (12 months)","Transportation",56
2013-11-01,"Long-term index (12 months)","Transportation",62.8
2013-12-01,"Long-term index (12 months)","Transportation",64.1
2014-01-01,"Long-term index (12 months)","Transportation",66.2
2014-02-01,"Long-term index (12 months)","Transportation",60.7
2014-03-01,"Long-term index (12 months)","Transportation",60
2014-04-01,"Long-term index (12 months)","Transportation",61.6
2014-05-01,"Long-term index (12 months)","Transportation",65
2014-06-01,"Long-term index (12 months)","Transportation",68
2014-07-01,"Long-term index (12 months)","Transportation",63.7
2014-08-01,"Long-term index (12 months)","Transportation",61.5
2014-09-01,"Long-term index (12 months)","Transportation",58.9
2014-10-01,"Long-term index (12 months)","Transportation",63
2014-11-01,"Long-term index (12 months)","Transportation",67
2014-12-01,"Long-term index (12 months)","Transportation",65.2
2015-01-01,"Long-term index (12 months)","Transportation",61
2015-02-01,"Long-term index (12 months)","Transportation",55.9
2015-03-01,"Long-term index (12 months)","Transportation",55.1
2015-04-01,"Long-term index (12 months)","Transportation",56.3
2015-05-01,"Long-term index (12 months)","Transportation",61.2
2015-06-01,"Long-term index (12 months)","Transportation",59.8
2015-07-01,"Long-term index (12 months)","Transportation",58.9
2015-08-01,"Long-term index (12 months)","Transportation",54.6
2015-09-01,"Long-term index (12 months)","Transportation",58.4
2015-10-01,"Long-term index (12 months)","Transportation",59
2015-11-01,"Long-term index (12 months)","Transportation",61.8
2015-12-01,"Long-term index (12 months)","Transportation",58.7
2016-01-01,"Long-term index (12 months)","Transportation",53.8
2016-02-01,"Long-term index (12 months)","Transportation",45.9
2016-03-01,"Long-term index (12 months)","Transportation",46.2
2016-04-01,"Long-term index (12 months)","Transportation",48.3
2016-05-01,"Long-term index (12 months)","Transportation",48.5
2016-06-01,"Long-term index (12 months)","Transportation",52.3
2016-07-01,"Long-term index (12 months)","Transportation",50
2016-08-01,"Long-term index (12 months)","Transportation",52.8
2016-09-01,"Long-term index (12 months)","Transportation",52
2016-10-01,"Long-term index (12 months)","Transportation",48
2016-11-01,"Long-term index (12 months)","Transportation",53.8
2016-12-01,"Long-term index (12 months)","Transportation",52.8
2017-01-01,"Long-term index (12 months)","Transportation",57.1
2017-02-01,"Long-term index (12 months)","Transportation",58.1
2017-03-01,"Long-term index (12 months)","Transportation",58.2
2017-04-01,"Long-term index (12 months)","Transportation",62.5
2017-05-01,"Long-term index (12 months)","Transportation",60.5
2017-06-01,"Long-term index (12 months)","Transportation",63.1
2017-07-01,"Long-term index (12 months)","Transportation",61.3
2017-08-01,"Long-term index (12 months)","Transportation",60.3
2017-09-01,"Long-term index (12 months)","Transportation",56.1
2017-10-01,"Long-term index (12 months)","Transportation",53.6
2017-11-01,"Long-term index (12 months)","Transportation",55.4
2017-12-01,"Long-term index (12 months)","Transportation",56.9
2018-01-01,"Long-term index (12 months)","Transportation",55.3
2018-02-01,"Long-term index (12 months)","Transportation",56.5
2018-03-01,"Long-term index (12 months)","Transportation",58.8
2018-04-01,"Long-term index (12 months)","Transportation",63.9
2018-05-01,"Long-term index (12 months)","Transportation",66.1
2018-06-01,"Long-term index (12 months)","Transportation",63
2018-07-01,"Long-term index (12 months)","Transportation",60.5
2018-08-01,"Long-term index (12 months)","Transportation",56.5
2018-09-01,"Long-term index (12 months)","Transportation",55.8
2018-10-01,"Long-term index (12 months)","Transportation",54.8
2018-11-01,"Long-term index (12 months)","Transportation",55.7
2018-12-01,"Long-term index (12 months)","Transportation",56.5
2019-01-01,"Long-term index (12 months)","Transportation",55.1
2019-02-01,"Long-term index (12 months)","Transportation",54.2
2019-03-01,"Long-term index (12 months)","Transportation",52.3
2019-04-01,"Long-term index (12 months)","Transportation",52
2019-05-01,"Long-term index (12 months)","Transportation",54.9
2019-06-01,"Long-term index (12 months)","Transportation",60.5
2019-07-01,"Long-term index (12 months)","Transportation",60.5
2019-08-01,"Long-term index (12 months)","Transportation",55.3
2019-09-01,"Long-term index (12 months)","Transportation",50
2019-10-01,"Long-term index (12 months)","Transportation",51
2019-11-01,"Long-term index (12 months)","Transportation",49.2
2019-12-01,"Long-term index (12 months)","Transportation",47.9
2020-01-01,"Long-term index (12 months)","Transportation",50.6
2020-02-01,"Long-term index (12 months)","Transportation",48.6
2020-03-01,"Long-term index (12 months)","Transportation",54
2020-03-01,"Long-term index (12 months)","Transportation",29
2020-04-01,"Long-term index (12 months)","Transportation",56.6
2020-04-01,"Long-term index (12 months)","Transportation",40.9
2020-05-01,"Long-term index (12 months)","Transportation",52.9
2020-05-01,"Long-term index (12 months)","Transportation",55.1
2020-06-01,"Long-term index (12 months)","Transportation",55.7
2020-07-01,"Long-term index (12 months)","Transportation",58.3
2020-08-01,"Long-term index (12 months)","Transportation",62.7
2020-09-01,"Long-term index (12 months)","Transportation",59.7
2020-10-01,"Long-term index (12 months)","Transportation",53
2020-11-01,"Long-term index (12 months)","Transportation",50.7
2020-12-01,"Long-term index (12 months)","Transportation",53.8
2021-01-01,"Long-term index (12 months)","Transportation",58.5
2021-02-01,"Long-term index (12 months)","Transportation",57.3
2021-03-01,"Long-term index (12 months)","Transportation",59
2021-04-01,"Long-term index (12 months)","Transportation",60
2021-05-01,"Long-term index (12 months)","Transportation",66
2021-06-01,"Long-term index (12 months)","Transportation",67.6
2021-07-01,"Long-term index (12 months)","Transportation",69.9
2021-08-01,"Long-term index (12 months)","Transportation",66.7
2021-09-01,"Long-term index (12 months)","Transportation",61.3
2021-10-01,"Long-term index (12 months)","Transportation",54.6
2021-11-01,"Long-term index (12 months)","Transportation",54.9
2021-12-01,"Long-term index (12 months)","Transportation",57.5
2022-01-01,"Long-term index (12 months)","Transportation",59.3
2022-02-01,"Long-term index (12 months)","Transportation",56.9
2022-03-01,"Long-term index (12 months)","Transportation",49.9
2022-04-01,"Long-term index (12 months)","Transportation",49.6
2022-05-01,"Long-term index (12 months)","Transportation",50.8
2000-10-01,"Long-term index (12 months)","Info., arts, recreation",NA
2001-02-01,"Long-term index (12 months)","Info., arts, recreation",NA
2001-06-01,"Long-term index (12 months)","Info., arts, recreation",NA
2001-10-01,"Long-term index (12 months)","Info., arts, recreation",NA
2001-12-01,"Long-term index (12 months)","Info., arts, recreation",NA
2002-04-01,"Long-term index (12 months)","Info., arts, recreation",NA
2002-06-01,"Long-term index (12 months)","Info., arts, recreation",NA
2002-09-01,"Long-term index (12 months)","Info., arts, recreation",NA
2002-12-01,"Long-term index (12 months)","Info., arts, recreation",NA
2003-03-01,"Long-term index (12 months)","Info., arts, recreation",NA
2003-06-01,"Long-term index (12 months)","Info., arts, recreation",NA
2003-09-01,"Long-term index (12 months)","Info., arts, recreation",NA
2003-12-01,"Long-term index (12 months)","Info., arts, recreation",NA
2004-03-01,"Long-term index (12 months)","Info., arts, recreation",NA
2004-06-01,"Long-term index (12 months)","Info., arts, recreation",NA
2004-09-01,"Long-term index (12 months)","Info., arts, recreation",NA
2004-12-01,"Long-term index (12 months)","Info., arts, recreation",NA
2005-03-01,"Long-term index (12 months)","Info., arts, recreation",NA
2005-06-01,"Long-term index (12 months)","Info., arts, recreation",NA
2005-09-01,"Long-term index (12 months)","Info., arts, recreation",NA
2005-12-01,"Long-term index (12 months)","Info., arts, recreation",NA
2006-03-01,"Long-term index (12 months)","Info., arts, recreation",NA
2006-06-01,"Long-term index (12 months)","Info., arts, recreation",NA
2006-09-01,"Long-term index (12 months)","Info., arts, recreation",NA
2006-12-01,"Long-term index (12 months)","Info., arts, recreation",NA
2007-03-01,"Long-term index (12 months)","Info., arts, recreation",NA
2007-06-01,"Long-term index (12 months)","Info., arts, recreation",NA
2007-09-01,"Long-term index (12 months)","Info., arts, recreation",NA
2007-12-01,"Long-term index (12 months)","Info., arts, recreation",NA
2008-03-01,"Long-term index (12 months)","Info., arts, recreation",71.1
2008-06-01,"Long-term index (12 months)","Info., arts, recreation",67.7
2008-09-01,"Long-term index (12 months)","Info., arts, recreation",67.9
2008-10-01,"Long-term index (12 months)","Info., arts, recreation",51.4
2008-11-01,"Long-term index (12 months)","Info., arts, recreation",50
2008-12-01,"Long-term index (12 months)","Info., arts, recreation",49.1
2009-01-01,"Long-term index (12 months)","Info., arts, recreation",54.3
2009-02-01,"Long-term index (12 months)","Info., arts, recreation",58.1
2009-03-01,"Long-term index (12 months)","Info., arts, recreation",54.6
2009-04-01,"Long-term index (12 months)","Info., arts, recreation",55.3
2009-05-01,"Long-term index (12 months)","Info., arts, recreation",54.4
2009-06-01,"Long-term index (12 months)","Info., arts, recreation",63.5
2009-07-01,"Long-term index (12 months)","Info., arts, recreation",64.1
2009-08-01,"Long-term index (12 months)","Info., arts, recreation",69.6
2009-09-01,"Long-term index (12 months)","Info., arts, recreation",68.9
2009-10-01,"Long-term index (12 months)","Info., arts, recreation",72.1
2009-11-01,"Long-term index (12 months)","Info., arts, recreation",70.5
2009-12-01,"Long-term index (12 months)","Info., arts, recreation",62.5
2010-01-01,"Long-term index (12 months)","Info., arts, recreation",62.9
2010-02-01,"Long-term index (12 months)","Info., arts, recreation",65.3
2010-03-01,"Long-term index (12 months)","Info., arts, recreation",70.9
2010-04-01,"Long-term index (12 months)","Info., arts, recreation",68.5
2010-05-01,"Long-term index (12 months)","Info., arts, recreation",67.9
2010-06-01,"Long-term index (12 months)","Info., arts, recreation",72.9
2010-07-01,"Long-term index (12 months)","Info., arts, recreation",70.9
2010-08-01,"Long-term index (12 months)","Info., arts, recreation",69.9
2010-09-01,"Long-term index (12 months)","Info., arts, recreation",64.6
2010-10-01,"Long-term index (12 months)","Info., arts, recreation",70.8
2010-11-01,"Long-term index (12 months)","Info., arts, recreation",69.1
2010-12-01,"Long-term index (12 months)","Info., arts, recreation",62.5
2011-01-01,"Long-term index (12 months)","Info., arts, recreation",64.5
2011-02-01,"Long-term index (12 months)","Info., arts, recreation",68.5
2011-03-01,"Long-term index (12 months)","Info., arts, recreation",77.1
2011-04-01,"Long-term index (12 months)","Info., arts, recreation",74.5
2011-05-01,"Long-term index (12 months)","Info., arts, recreation",66.3
2011-06-01,"Long-term index (12 months)","Info., arts, recreation",61.3
2011-07-01,"Long-term index (12 months)","Info., arts, recreation",63.5
2011-08-01,"Long-term index (12 months)","Info., arts, recreation",68.2
2011-09-01,"Long-term index (12 months)","Info., arts, recreation",70.3
2011-10-01,"Long-term index (12 months)","Info., arts, recreation",67.7
2011-11-01,"Long-term index (12 months)","Info., arts, recreation",69.5
2011-12-01,"Long-term index (12 months)","Info., arts, recreation",71.6
2012-01-01,"Long-term index (12 months)","Info., arts, recreation",73.1
2012-02-01,"Long-term index (12 months)","Info., arts, recreation",68.8
2012-03-01,"Long-term index (12 months)","Info., arts, recreation",69.3
2012-04-01,"Long-term index (12 months)","Info., arts, recreation",66.9
2012-05-01,"Long-term index (12 months)","Info., arts, recreation",69.1
2012-06-01,"Long-term index (12 months)","Info., arts, recreation",69.2
2012-07-01,"Long-term index (12 months)","Info., arts, recreation",71.2
2012-08-01,"Long-term index (12 months)","Info., arts, recreation",70.5
2012-09-01,"Long-term index (12 months)","Info., arts, recreation",70.2
2012-10-01,"Long-term index (12 months)","Info., arts, recreation",72.1
2012-11-01,"Long-term index (12 months)","Info., arts, recreation",76.1
2012-12-01,"Long-term index (12 months)","Info., arts, recreation",70.5
2013-01-01,"Long-term index (12 months)","Info., arts, recreation",68.5
2013-02-01,"Long-term index (12 months)","Info., arts, recreation",66.9
2013-03-01,"Long-term index (12 months)","Info., arts, recreation",69.6
2013-04-01,"Long-term index (12 months)","Info., arts, recreation",69.6
2013-05-01,"Long-term index (12 months)","Info., arts, recreation",67.4
2013-06-01,"Long-term index (12 months)","Info., arts, recreation",66.9
2013-07-01,"Long-term index (12 months)","Info., arts, recreation",65.8
2013-08-01,"Long-term index (12 months)","Info., arts, recreation",66
2013-09-01,"Long-term index (12 months)","Info., arts, recreation",70
2013-10-01,"Long-term index (12 months)","Info., arts, recreation",70.1
2013-11-01,"Long-term index (12 months)","Info., arts, recreation",68.1
2013-12-01,"Long-term index (12 months)","Info., arts, recreation",63.6
2014-01-01,"Long-term index (12 months)","Info., arts, recreation",65.4
2014-02-01,"Long-term index (12 months)","Info., arts, recreation",70
2014-03-01,"Long-term index (12 months)","Info., arts, recreation",70.8
2014-04-01,"Long-term index (12 months)","Info., arts, recreation",69
2014-05-01,"Long-term index (12 months)","Info., arts, recreation",69.2
2014-06-01,"Long-term index (12 months)","Info., arts, recreation",71.3
2014-07-01,"Long-term index (12 months)","Info., arts, recreation",67.4
